Category,Description Contains,Account Contains,Institution Contains,Amount Min,Amount Max
Adult Activities Comunes Anual,"""purebarr"", ""Greenwich Art Society"",""Artarama"",""greenwichar"",""tennis Konnection"",""Bernardo Paineo""",,,,
Adult Activities Comunes Anual,Www.nyrr.org,,,,
Auto Comunes Anual,"""riley mazda"",""Lava Autos Mateo""",,,,
Auto Comunes Mensual,"""exxon"", ""gulf oil"",""shell"",""sunoco"",""Exxon""",,,$20,
Auto Comunes Mensual,"""E-zpass"",""E-z*pass""",,,,
Auto Comunes Mensual,"""Parkmobile"",""parking"",""City of New Rochelle"",""Landmark Square Valet"",""Spothero"",""Pmusa"",""Stamford Town Center""",,,,
Auto Fijo Mensual,"""Mfsusa"",""Mazda Financial""",,,,
Bonus,"""Travel Credit $300/year""",,,,
Accenture Expenses,"Accenture Llp, Des:payments",,,,
Accenture Expenses,"""Pepsico"",""Cvs 1 Cvs Dr"",""Frito Lay""",,,,
Accenture Expenses,"""uber"",""Amtrak""",,American Express,,
Casa Comunes Anual,"""The Home Depot"",""Homedepot.com""",,,,
Casa Comunes Mensual,"""withdrwl"",""oscar Ac Sam"",""Jessica Limpieza"",""Samy Guate"",""Samayo"",""Judith"",""hilda Orella""",,,,
Casa Fijo Anual,"""Ring Protect""",,,,
Casa Fijo Anual,The Cincinnati Insurance,,,,
Casa Fijo Mensual,"""pest services"",""Fox Pest Control""",,,,
Casa Fijo Mensual,Central Loan Adm Loan Paymt,,,,
Donation,Helpargentina,,,,
Interest,,Securities,,,"$1,000"
Interest,"""Cashback Bonus Redemption"",""Cash Debit Interest""",,,,
Interest,"""Interest Payment"", ""Interest Paid""",,,,
Kids Activities Comunes Anual,"""myogct"",""Old Greenwichriverside""",,,,
Kids Activities Comunes Anual,"""Sportsplex"",""Mathnasium""",,,,
Kids Activities Comunes Anual,Isd Pta,,,,
Kids Activities Comunes Anual,"""Unity Fused Arts"",""Greenwich After School"",""Codeninja"",""Your After School""",,,,
Tuition,Brilliant Minds,,,,
Pago Tarjeta,"""Credit Card Bill Payment"", ""American Express Des:ach Pmt"",""Discover, E-payment"",""Electronic Debit - Chase Credit"",""Payment Thank You-mobile"",""Chase Credit Crd Des:epay"",""Discover, Des:e-payment"",""Payment - Thank You"",""Internet Payment - Thank You"",""Automatic Payment - Thank"",""Directpay Full Balance"",""Barclaycard Us, Des:creditcard"",""Payment Received"",""Ach Electronic Debit - American Expr"",""Applecard Gsbank Des:payment"",""Online payment from Chk 3741"",""Online Banking payment to Crd 7302"",""Chase Credit Crd Des:autopay""",,,,
Paycheck,payroll,,,,
Realtor Expenses,"""Supra Re"",""Realtor Association/ml""",,,,
