Category,Group,Type,Hide From Reports,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,May 2026,Jun 2026,Jul 2026,Aug 2026,Sep 2026,Oct 2026,Nov 2026,Dec 2026
Auto Fijo Mensual,Auto,Expense,,$750.00,$750.00,$750.00,$750.00,$750.00,$750.00,$750.00,$750.00,$750.00,$750.00,$750.00,$750.00,$750.00,$750.00,$750.00,$750.00,$460.00,$460.00,$460.00,$460.00,$460.00,$460.00,$460.00,$460.00,$460.00,$460.00,$460.00,$460.00,$460.00,$460.00,$460.00,$460.00,$460.00,$460.00,$460.00,$460.00
Salidas Eventos Anual,Salidas,Expense,,,,,,$250.00,$250.00,$250.00,$250.00,$250.00,$250.00,$250.00,$250.00,$166.67,$166.67,$166.67,$166.67,$166.67,$166.67,$166.67,$166.67,$166.67,$166.67,$166.67,$166.67,$166.67,$166.67,$166.67,$166.67,$166.67,$166.67,$166.67,$166.67,$166.67,$166.67,$166.67,$166.67
Auto Comunes Mensual,Auto,Expense,,$225.00,$225.00,$225.00,$225.00,$225.00,$225.00,$225.00,$225.00,$225.00,$225.00,$225.00,$225.00,$265.00,$265.00,$265.00,$265.00,$265.00,$265.00,$265.00,$265.00,$265.00,$265.00,$265.00,$265.00,$265.00,$265.00,$265.00,$265.00,$265.00,$265.00,$265.00,$265.00,$265.00,$265.00,$265.00,$265.00
Auto Comunes Anual,Auto,Expense,,$83.33,$83.33,$83.33,$83.33,$83.33,$83.33,$83.33,$83.33,$83.33,$83.33,$83.33,$83.33,$83.33,$83.33,$83.33,$83.33,$83.33,$83.33,$83.33,$83.33,$83.33,$83.33,$83.33,$83.33,$83.33,$83.33,$83.33,$83.33,$83.33,$83.33,$83.33,$83.33,$83.33,$83.33,$83.33,$83.33
Telecom Fijo Mensual,Utilities,Expense,,$220.00,$220.00,$220.00,$220.00,$220.00,$220.00,$220.00,$220.00,$220.00,$220.00,$220.00,$220.00,$240.00,$240.00,$240.00,$240.00,$240.00,$240.00,$240.00,$240.00,$240.00,$240.00,$240.00,$240.00,$240.00,$240.00,$240.00,$240.00,$240.00,$240.00,$240.00,$240.00,$240.00,$240.00,$240.00,$240.00
Utilities Comunes Mensual,Utilities,Expense,,$600.00,$600.00,$600.00,$600.00,$600.00,$600.00,$600.00,$600.00,$600.00,$600.00,$600.00,$600.00,$620.00,$620.00,$620.00,$620.00,$620.00,$620.00,$620.00,$620.00,$620.00,$620.00,$620.00,$620.00,$620.00,$620.00,$620.00,$620.00,$620.00,$620.00,$620.00,$620.00,$620.00,$620.00,$620.00,$620.00
Salidas Comunes Mensual,Salidas,Expense,,"$1,666.67","$1,666.67","$1,666.67","$1,666.67","$1,416.67","$1,416.67","$1,416.67","$1,416.67","$1,416.67","$1,416.67","$1,416.67","$1,416.67","$1,800.00","$1,800.00","$1,800.00","$1,800.00","$1,800.00","$1,800.00","$1,800.00","$1,800.00","$1,800.00","$1,800.00","$1,800.00","$1,800.00","$1,800.00","$1,800.00","$1,800.00","$1,800.00","$1,800.00","$1,800.00","$1,800.00","$1,800.00","$1,800.00","$1,800.00","$1,800.00","$1,800.00"
Super y Farmacia Comunes Mensual,Super y Farmacia,Expense,,"$1,360.00","$1,360.00","$1,360.00","$1,360.00","$1,360.00","$1,360.00","$1,360.00","$1,360.00","$1,360.00","$1,360.00","$1,360.00","$1,360.00","$2,000.00","$2,000.00","$2,000.00","$2,000.00","$2,000.00","$2,000.00","$2,000.00","$2,000.00","$2,000.00","$2,000.00","$2,000.00","$2,000.00","$2,000.00","$2,000.00","$2,000.00","$2,000.00","$2,000.00","$2,000.00","$2,000.00","$2,000.00","$2,000.00","$2,000.00","$2,000.00","$2,000.00"
Adult Activities Comunes Anual,Adult Activities,Expense,,$800.00,$800.00,$800.00,$800.00,$800.00,$800.00,$800.00,$800.00,$800.00,$800.00,$800.00,$800.00,$833.00,$833.00,$833.00,$833.00,$833.00,$833.00,$833.00,$833.00,$833.00,$833.00,$833.00,$833.00,$833.00,$833.00,$833.00,$833.00,$833.00,$833.00,$833.00,$833.00,$833.00,$833.00,$833.00,$833.00
Casa Fijo Anual,Casa,Expense,,$500.00,$500.00,$500.00,$500.00,$500.00,$500.00,$500.00,$500.00,$500.00,$500.00,$500.00,$500.00,$758.67,$758.67,$758.67,$758.67,$758.67,$758.67,$758.67,$758.67,$758.67,$758.67,$758.67,$758.67,$758.67,$758.67,$758.67,$758.67,$758.67,$758.67,$758.67,$758.67,$758.67,$758.67,$758.67,$758.67
Casa Fijo Mensual,Casa,Expense,,"$8,100.00","$8,100.00","$10,856.00","$10,856.00","$10,856.00","$10,856.00","$10,856.00","$10,856.00","$10,856.00","$10,856.00","$10,856.00","$10,856.00","$10,924.70","$10,924.70","$10,924.70","$10,924.70","$10,924.70","$10,924.70","$10,300.00","$10,300.00","$10,300.00","$10,300.00","$10,300.00","$10,300.00","$10,300.00","$10,300.00","$10,300.00","$10,300.00","$10,300.00","$10,300.00","$10,300.00","$10,300.00","$10,300.00","$10,300.00","$10,300.00","$10,300.00"
Casa Comunes Anual,Casa,Expense,,$833.33,$833.33,$833.33,$833.33,$833.33,$833.33,$833.33,$833.33,$833.33,$833.33,$833.33,$833.33,$458.33,$458.33,$458.33,$458.33,$458.33,$458.33,$458.33,$458.33,$458.33,$458.33,$458.33,$458.33,$458.33,$458.33,$458.33,$458.33,$458.33,$458.33,$458.33,$458.33,$458.33,$458.33,$458.33,$458.33
Casa Comunes Mensual,Casa,Expense,,"$1,000.00","$1,000.00","$1,000.00","$1,000.00","$1,000.00","$1,000.00","$1,000.00","$1,000.00","$1,000.00","$1,000.00","$1,000.00","$1,000.00","$2,692.00","$2,692.00","$2,692.00","$2,692.00","$2,692.00","$2,692.00","$2,692.00","$2,692.00","$2,692.00","$2,692.00","$2,692.00","$2,692.00","$2,692.00","$2,692.00","$2,692.00","$2,692.00","$2,692.00","$2,692.00","$2,692.00","$2,692.00","$2,692.00","$2,692.00","$2,692.00","$2,692.00"
Kids Activities Comunes Anual,Kids,Expense,,"$1,300.00","$1,300.00","$1,300.00","$1,300.00","$1,300.00","$1,300.00","$1,300.00","$1,300.00","$1,300.00","$1,300.00","$1,300.00","$1,300.00","$1,875.00","$1,875.00","$1,875.00","$1,875.00","$1,875.00","$1,875.00","$1,875.00","$1,875.00","$1,875.00","$1,875.00","$1,875.00","$1,875.00","$1,875.00","$1,875.00","$1,875.00","$1,875.00","$1,875.00","$1,875.00","$1,875.00","$1,875.00","$1,875.00","$1,875.00","$1,875.00","$1,875.00"
Tuition,Kids,Expense,,"$1,300.00","$1,300.00","$1,300.00","$1,300.00","$1,300.00",$900.00,$900.00,$900.00,$900.00,$900.00,$900.00,$900.00,$750.00,$750.00,$750.00,$750.00,$750.00,$900.00,$900.00,$900.00,$900.00,$900.00,$900.00,$900.00,$900.00,$900.00,$900.00,$900.00,$900.00,$900.00,$900.00,$900.00,$900.00,$900.00,$900.00,$900.00
Shopping Comunes Mensual,Shopping,Expense,,$750.00,$750.00,$750.00,$750.00,$750.00,$750.00,$750.00,$750.00,$750.00,$750.00,$750.00,$750.00,"$2,000.00","$2,000.00","$2,000.00","$2,000.00","$2,000.00","$2,000.00","$2,000.00","$2,000.00","$2,000.00","$2,000.00","$2,000.00","$2,000.00","$2,000.00","$2,000.00","$2,000.00","$2,000.00","$2,000.00","$2,000.00","$2,000.00","$2,000.00","$2,000.00","$2,000.00","$2,000.00","$2,000.00"
Travel Argentina,Travel,Expense,,$416.67,$416.67,$416.67,$416.67,$416.67,$416.67,$416.67,$416.67,$416.67,$416.67,$416.67,$416.67,$416.67,$416.67,$416.67,$416.67,$416.67,$416.67,$416.67,$416.67,$416.67,$416.67,$416.67,$416.67,$416.67,$416.67,$416.67,$416.67,$416.67,$416.67,$416.67,$416.67,$416.67,$416.67,$416.67,$416.67
Travel Montaña,Travel,Expense,,$250.00,$250.00,$250.00,$250.00,$250.00,$250.00,$250.00,$250.00,$250.00,$250.00,$250.00,$250.00,$250.00,$250.00,$250.00,$250.00,$250.00,$250.00,$250.00,$250.00,$250.00,$250.00,$250.00,$250.00,$250.00,$250.00,$250.00,$250.00,$250.00,$250.00,$250.00,$250.00,$250.00,$250.00,$250.00,$250.00
Travel Family,Travel,Expense,,$958.33,$958.33,$958.33,$958.33,$958.33,$958.33,$958.33,$958.33,$958.33,$958.33,$958.33,$958.33,$958.33,$958.33,$958.33,$958.33,$958.33,$958.33,$958.33,$958.33,$958.33,$958.33,$958.33,$958.33,$958.33,$958.33,$958.33,$958.33,$958.33,$958.33,$958.33,$958.33,$958.33,$958.33,$958.33,$958.33
Travel Vari,Travel,Expense,,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00
Travel Guli,Travel,Expense,,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00,$125.00
Accenture Expenses,Business,Expense,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Transfer Cuentas,Transfer,Transfer,Hide,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
